CB - I-29 @ Basswood Road (15),41.18974,-95.822647
CB - I-29 @ US 275 (16),41.220305,-95.832756
CB - I-29 @ Nebraska Avenue (17),41.241539,-95.904658
CB - I-29 @ 9th Avenue (18),41.253963,-95.906246
CB - I-29 @ I-480 Interchange (19),41.263361,-95.907705
CB - I-480 @ Missouri River Bridge (20),41.259584,-95.91985
CB - I-29 @ 35th Street (21),41.273296,-95.897555
CB - I-29 @ 25th Street (22),41.274991,-95.878115
CB - I-29 @ IA 192 (23),41.286278,-95.86627
CB - US 275 East of Missouri River Bridge (25),41.207464,-95.916567
CB - US 275 @ 24th Street (26),41.218858,-95.879552
CB - US 275 @ 11th Street (27),41.220124,-95.861056
CB - US 275 @ South Expressway (28),41.219823,-95.849662
CB - Broadway @ 16th Street (29),41.262009,-95.867686
CB - Kanesville @ 7th Street (30),41.261601,-95.853052
CB - Kanesville @ N Broadway (31),41.26791,-95.837216
CB - 23rd Avenue @ 24th Street (32),41.239543,-95.878673
CB - 23rd Avenue @ Mid America Dr (33),41.239843,-95.893328
CB - I-29 @ S of Hamilton Ln (34),41.322219,-95.882857
CB - I-29 @ S of South I-680 Interchange (35),41.344128,-95.890903
CB - I-29 @ South I-680 Interchange (36),41.353805,-95.900559
CB - I-29 @ North I-680 Interchange (37),41.495512,-95.899079
CB - I-80 @ Minden Interchange (39),41.496198,-95.546615
CB - Avenue G @ 16th Street (41),41.267889,-95.867622
CB - Avenue G @ 8th Street (42),41.26791,-95.856013
CB - I-80 @ I-680 Interchange (38),41.4974,-95.582407
CR - I-380 @ Rest Area (01),41.86762,-91.668651
CR - I-380 @ Wright Bros Blvd (02),41.890852,-91.670934
CR - I-380 @ 76th Ave (03),41.90546,-91.672036
CR - I-380 @ US 30- South (04),41.926759,-91.670322
IC - US 218 @ Melrose DMS (25),41.666808,-91.60954
PTV-01,0.0,0.0
WL - US 20 @ Ansburough (01),42.45306,-92.37663
WL - US 20 @ Hawkeye Road (02),42.453511,-92.346461
WL - US 20 @ Hammond (03),42.452524,-92.336698
WL - US 218 @ SB Ramp to I-380 SB (04),42.45379,-92.313094
WL - I-380 @ US-20 West (05),42.455635,-92.314296
WL - I-380 @ Cedar River (06),42.455399,-92.308996
WL - I-380 @ River Forest Road (07),42.460184,-92.29758
WL - I-380 @ River Road (08),42.460699,-92.279792
WL - I-380 @ Evansdale Drive (09),42.457888,-92.253549
WL - I-380 @ Gilbertville Road (10),42.450678,-92.23649
WL - I-380 @ S. Raymond Road (11),42.449176,-92.219775
WL - I-380 @ US-20 East -1 (12),42.449327,-92.195592
WL - I-380 @ US-20 East -2 (13),42.449627,-92.186687
WL - I-380 @ MM 64 (14),42.427998,-92.186086
WL - I-380 @ Poyner Road (15),42.413707,-92.173126
WL - Evansdale Water Tower - West (16),42.461815,-92.261338
WL - Evansdale Water Tower - East (17),42.461364,-92.257068
WL - US 20 @ S. Canfield Road (18),42.450464,-92.162118
Clive - 142nd and Hickman,41.61497,-93.814243
D1 - I-35 MM 140 near Wiliams (2),0.0,0.0
D1 - US 65 @ MM 98.4 near Mingo SW (D1TV05),41.810096,-93.310258
D1 - US 65 @ MM 98.4 near Mingo NE (D1TV06),41.809566,-93.30698
D1 - I-80 MM 179 near Grinnell (7),0.0,0.0
D1 - I-35 @ MM 151.5 near Woolstock (D1TV08),42.570805,-93.553176
D6 - US 20 MM 293 @ Dyersville (1),42.470853,-91.134419
QC - I-80 EB @ DMS (14),41.604334,-90.724792
QC - I-80 @ CRY48 (15),41.603493,-90.685634
QC - I-80 @ I-280(16),41.60257,-90.67755
QC - I-80 @ Northwest Blvd (17),41.599603,-90.6184
QC - I-80 @ Brady (18),41.595898,-90.570447
QC - I-74 @ I-80 (19),41.59669,-90.525113
QC - I-80 @ LeClaire (20),41.594062,-90.373504
QC - I-280 @ Rockingham Rd (21),41.491824,-90.647733
IC - I-80 @ Y Ave (26),41.68705,-91.852747
IC - I-80 @ Black Hawk Ave NW (27),41.688397,-91.805056
IC - I-80 @ Eagle Ave NW (28),41.692231,-91.754947
NW - I-80 @ 52nd St (01),41.68155,-93.116353
NW - I-80 @ Newton OH (02),41.680814,-93.100486
NW - I-80 @ IA 14 (03),41.683652,-93.077276
NW - I-80 @ W. 4th St. (04),41.683518,-93.058412
NW - I-80 @ E. 12th St. (05),41.682955,-93.039129
NW - I-80 @ Speedway (06),41.683298,-93.020014
NW - I-80 @ Speedway Dr. (07),41.682723,-92.999912
NW - I-80 @ E 84th St. (08),41.680166,-92.941623
NW - I-80 @ Hwy T22 (09),41.682311,-92.90258
NW - I-80 @ 108th St. (10),41.687209,-92.881843
NW - I-80 @ Kellog OH (11),41.689124,-92.876644
NW - I-80 @ Hwy T38N (12),41.6951,-92.795236
AM - I-35 @ IA 210 (01),41.877717,-93.571644
AM - I-35 @ Heart of Iowa Nature Trail (02),41.893747,-93.570836
AM - I-35 @ Mile Post 105.6 (03),41.919281,-93.569842
DM - I-35 @ Mile Post 94 (60),41.750675,-93.574094
DM - I-35 @ NE 36th St (61),41.761242,-93.568964
DM - I-35 @ NE 126 Ave (62),41.791275,-93.570847
BN - US 30 @ Story St (01),42.034853,-93.879475
DM - I-35 @ NE 142 Ave (63),41.820539,-93.5704
DM - I-35 @ NE 158 Ave (64),41.849694,-93.570631
AM - I-35 @ Mile Post 107.8 (04),41.949589,-93.569472
AM - I-35 @ 260th St (05),41.979361,-93.570139
AM - I-35 @ US 30 (06),42.007297,-93.571411
AM - I-35 @ US 30 (07),42.008111,-93.570864
